DrLLPSID UniProtID Genename EnsemblGeneID Species Condensate LLPSType References 
LLPS-Hos-1437 Q92777 SYN2 ENSG00000157152.16 Homo_sapiens Droplet,Postsynapticdensity Scaffold 29976799 
LLPS-Hos-1482 P17600 SYN1 ENSG00000008056.13 Homo_sapiens Droplet,Postsynapticdensity Scaffold 29976799 
LLPS-Hos-1500 O00571 DDX3X ENSG00000215301.10 Homo_sapiens Droplet,Nucleolus,P-body,Stress-granule,Postsynapticdensity Scaffold 30531905 
LLPS-Hos-1524 P10276 RARA ENSG00000131759.17 Homo_sapiens Droplet,PML-nuclear-body Scaffold 30449618 
LLPS-Hos-1528 Q92804 TAF15 ENSG00000270647.5 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 2426789029961570 
LLPS-Hos-1607 P52948 NUP98 ENSG00000110713.16 Homo_sapiens Droplet,Nuclearporecomplex,Stress-granule Scaffold 25562883 
LLPS-Hos-1657 P33240 CSTF2 ENSG00000101811.13 Homo_sapiens Droplet,Cleavagebody,DDX1body Scaffold 29961577 
LLPS-Hos-1686 Q9UKV8 AGO2 ENSG00000123908.11 Homo_sapiens Droplet,Nuclear-speckle,P-body,Stress-granule,Chromatoidbody Scaffold 29576456 
LLPS-Hos-1690 P98179 RBM3 ENSG00000102317.17 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 22579281 
LLPS-Hos-1704 P17931 LGALS3 ENSG00000131981.15 Homo_sapiens Droplet Scaffold 28893908 
LLPS-Hos-1745 Q01085 TIAL1 ENSG00000151923.17 Homo_sapiens Droplet,P-body,Stress-granule,Others Scaffold 29961577 
LLPS-Hos-1770 P04637 TP53 ENSG00000141510.17 Homo_sapiens Droplet,Paraspeckle,PML-nuclear-body,Centrosome/Spindlepolebody Scaffold 30449618 
LLPS-Hos-1888 P46777 RPL5 ENSG00000122406.13 Homo_sapiens Droplet,Nucleolus,P-body,Stress-granule Scaffold 26836305 
LLPS-Hos-1950 Q96EP5 DAZAP1 ENSG00000071626.16 Homo_sapiens Droplet,P-body,Stress-granule,Balbianibody Scaffold 29961577 
LLPS-Hos-1981 P16333 NCK1 ENSG00000158092.6 Homo_sapiens Droplet Scaffold 26553976 
LLPS-Hos-2022 Q14103 HNRNPD ENSG00000138668.18 Homo_sapiens Droplet,Nucleolus,Sam68-nuclear-body,Stress-granule Scaffold 28709000 
LLPS-Hos-2029 Q9H0L4 CSTF2T ENSG00000177613.8 Homo_sapiens Droplet,P-body,Stress-granule Scaffold 29961577 
LLPS-Hos-2036 Q96PK6 RBM14 ENSG00000239306.4 Homo_sapiens Droplet,Nucleolus,Paraspeckle Scaffold 26283796 
LLPS-Hos-2141 P31942 HNRNPH3 ENSG00000096746.17 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 29961577 
LLPS-Hos-2181 Q15811 ITSN1 ENSG00000205726.14 Homo_sapiens Droplet,Postsynapticdensity Scaffold 29976799 
LLPS-Hos-2503 Q92499 DDX1 ENSG00000079785.14 Homo_sapiens Cleavagebody,DDX1body,Nucleolus,P-body,Stress-granule,Postsynapticdensity Scaffold 11598190 
LLPS-Hos-2196 Q9NSC5 HOMER3 ENSG00000051128.18 Homo_sapiens Droplet Scaffold 30078712 
LLPS-Hos-2230 Q7Z5Q1 CPEB2 ENSG00000137449.15 Homo_sapiens Droplet,Stress-granule Scaffold 22579281 
LLPS-Hos-2246 O60563 CCNT1 ENSG00000129315.10 Homo_sapiens Droplet Scaffold 29849146 
LLPS-Hos-2255 P38432 COIL ENSG00000121058.4 Homo_sapiens Cajal-body,Nucleolus,Stress-granule Scaffold 12679382 
LLPS-Hos-2341 Q07889 SOS1 ENSG00000115904.12 Homo_sapiens Droplet Scaffold 27056844 
LLPS-Hos-2395 Q96PV0 SYNGAP1 ENSG00000197283.16 Homo_sapiens Droplet,Postsynapticdensity Scaffold 27565345 
LLPS-Hos-2409 O14979 HNRNPDL ENSG00000152795.17 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 29961577 
LLPS-Hos-2426 Q06787 FMR1 ENSG00000102081.14 Homo_sapiens Droplet,Cajal-body,Neuronalgranule,P-body,Stress-granule,Others Scaffold 3076551828306500 
LLPS-Hos-2435 P29590 PML ENSG00000140464.19 Homo_sapiens PML-nuclear-body,Centrosome/Spindlepolebody Scaffold 10525530 
LLPS-Hos-2735 O60500 NPHS1 ENSG00000161270.19 Homo_sapiens Droplet,Others Scaffold 26553976 
LLPS-Hos-2771 O00401 WASL ENSG00000106299.7 Homo_sapiens Droplet,Postsynapticdensity Scaffold 26553976 
LLPS-Hos-2824 Q8WXF1 PSPC1 ENSG00000121390.18 Homo_sapiens Droplet,Nuclear-speckle,Nucleolus,Paraspeckle,Stress-granule Scaffold 29961577 
LLPS-Hos-2850 P55795 HNRNPH2 ENSG00000126945.8 Homo_sapiens Droplet,Stress-granule Scaffold 29961577 
LLPS-Hos-0150 Q01130 SRSF2 ENSG00000161547.16 Homo_sapiens Nuclear-speckle Scaffold 10766243 
LLPS-Hos-2896 P31943 HNRNPH1 ENSG00000169045.17 Homo_sapiens Droplet,Nucleolus,Stress-granule Scaffold 29961577 
LLPS-Hos-3149 P00519 ABL1 ENSG00000097007.17 Homo_sapiens Droplet Scaffold 28924037 
LLPS-Hos-4840 O60885 BRD4 ENSG00000141867.17 Homo_sapiens Droplet Scaffold 29930091 
LLPS-Hos-5133 P55854 SUMO3 ENSG00000184900.16 Homo_sapiens Droplet,PML-nuclear-body Scaffold 27374333 
LLPS-Hos-4935 O75928 PIAS2 ENSG00000078043.15 Homo_sapiens Droplet,PML-nuclear-body Scaffold 27374333 
LLPS-Hos-5013 O15169 AXIN ENSG00000103126.14 Homo_sapiens Others Scaffold 16263762 
LLPS-Hos-5016 Q15648 MED1 ENSG00000125686.11 Homo_sapiens Droplet Scaffold 29930091 
LLPS-Hos-5017 Q8N884 CGAS ENSG00000164430.15 Homo_sapiens Droplet Scaffold 29976794 
LLPS-Hos-3594 O43791 SPOP ENSG00000121067.17 Homo_sapiens Droplet Scaffold 30244836 
LLPS-Mum-0012 Q61686 Cbx5 ENSMUSG00000009575.14 Mus_musculus Droplet,PML-nuclear-body,Centrosome/Spindlepolebody Scaffold 2863660430765530 
LLPS-Mum-0941 Q64337 Sqstm1 ENSMUSG00000015837.15 Mus_musculus Droplet,Stress-granule Scaffold 29507397 
LLPS-Mum-1301 F6SEU4 Syngap1 ENSMUSG00000067629.13 Mus_musculus Droplet,Postsynapticdensity Scaffold 27565345 
LLPS-Mum-1474 P70279 Surf6 ENSMUSG00000036160.13 Mus_musculus Droplet Scaffold 29483575 
LLPS-Mum-1698 P52912 Tia1 ENSMUSG00000071337.11 Mus_musculus Droplet,Stress-granule Scaffold 29298433 
LLPS-Mum-1729 Q62108 Dlg4 ENSMUSG00000020886.17 Mus_musculus Droplet,Postsynapticdensity Scaffold 27565345 
LLPS-Mum-2048 Q4ACU6 Shank3 ENSMUSG00000022623.16 Mus_musculus Droplet,Postsynapticdensity Scaffold 30078712 
LLPS-Mum-2387 Q61937 Npm1 ENSMUSG00000057113.13 Mus_musculus Droplet,Postsynapticdensity Scaffold 29483575 
LLPS-Mum-2891 Q9D415 Dlgap1 ENSMUSG00000003279.17 Mus_musculus Droplet,Postsynapticdensity Scaffold 30078712 
LLPS-Mum-4858 Q60598 Cttn ENSMUSG00000031078.15 Mus_musculus Droplet,Postsynapticdensity Scaffold 30078712 
LLPS-Mum-5036 Q60838 Dvl2 ENSMUSG00000020888.16 Mus_musculus Others Scaffold 16263762 
LLPS-Mum-5037 Q8C6L5 Cgas ENSMUSG00000032344.17 Mus_musculus Droplet Scaffold 29976794 
LLPS-Ran-0028 Q9QUH6 Syngap1 ENSRNOG00000000483.8 Rattus_norvegicus Droplet Scaffold 27565345 
LLPS-Ran-0043 P31016 Dlg4 ENSRNOG00000018526.7 Rattus_norvegicus Droplet Scaffold 27565345 
LLPS-Ran-1862 O08816 Wasl ENSRNOG00000006975.6 Rattus_norvegicus Droplet Scaffold 22398450 
LLPS-Cae-0032 Q22053 fib-1 WBGene00001423 Caenorhabditis_elegans Droplet,Nucleolus,P-body Scaffold 27212236 
LLPS-Cae-0079 G5EEM5 zyg-9 WBGene00006994 Caenorhabditis_elegans Droplet,Centrosome/Spindlepolebody,Pgranule Scaffold 28575670 
LLPS-Cae-0109 G5EEH9 npp-10 WBGene00003796 Caenorhabditis_elegans Droplet,P-body,Pgranule Scaffold 25562883 
LLPS-Cae-0112 G5EDE7 TPXL-1 WBGene00003175 Caenorhabditis_elegans Droplet Scaffold 28575670 
LLPS-Cae-0262 Q9TYK1 Y66H1A.4 WBGene00022046 Caenorhabditis_elegans Droplet,P-body Scaffold 27791212 
LLPS-Cae-0337 D0PV95 laf-1 WBGene00002244 Caenorhabditis_elegans Droplet,Pgranule Scaffold 26015579 
LLPS-Cae-1380 P34689 glh-1 WBGene00001598 Caenorhabditis_elegans Pgranule Scaffold 19460965 
LLPS-Cae-2080 Q9TXM1 meg-3 WBGene00001569 Caenorhabditis_elegans Droplet,Pgranule Scaffold 27914198 
LLPS-Cae-2107 Q9TZQ3 pgl-1 WBGene00003992 Caenorhabditis_elegans Droplet,Pgranule Scaffold 30173914 
LLPS-Cae-2109 G5EBV6 pgl-3 WBGene00003994 Caenorhabditis_elegans Droplet,Pgranule Scaffold 3017391427594420 
LLPS-Cae-2117 P91349 spd-5 WBGene00004955 Caenorhabditis_elegans Droplet,Centrosome/Spindlepolebody,Pericentriolarmatrix,Spindleapparatus,Pgranule Scaffold 28575670 
LLPS-Cae-2143 G5EC37 sepa-1 WBGene00010808 Caenorhabditis_elegans Droplet Scaffold 30173914 
LLPS-Cae-2151 Q9U2F5 tiar-2 WBGene00012904 Caenorhabditis_elegans Droplet,Stress-granule Scaffold 31378567 
LLPS-Cae-2169 Q95XR4 epg-2 WBGene00021468 Caenorhabditis_elegans Droplet Scaffold 30173914 
LLPS-Chr-0000 P00873 RBCS-1 CHLRE_02g120100v5 Chlamydomonas_reinhardtii Droplet,Pyrenoidmatrix Scaffold 30498228 
LLPS-Drm-0081 Q9BJZ5 fus FBgn0023441 Drosophila_melanogaster Droplet Scaffold 30021151 
LLPS-Drm-0117 Q8SWR8 Atx2 FBgn0041188 Drosophila_melanogaster Droplet Scaffold 29772202 
LLPS-Drm-0138 Q8SXP8 TBPH FBgn0025790 Drosophila_melanogaster Droplet Scaffold 30100264 
LLPS-Drm-0249 P05205 Su(var)205 FBgn0003607 Drosophila_melanogaster Droplet,Chromatin Scaffold 28636597 
LLPS-Drm-0573 Q9VCH5 Nup98-96 FBgn0039120 Drosophila_melanogaster Droplet Scaffold 25562883 
LLPS-Drm-a071 P16554 numb FBgn0002973 Drosophila_melanogaster Droplet Scaffold 29467404 
LLPS-Drm-2449 Q9W4I7 pon FBgn0025739 Drosophila_melanogaster Droplet Scaffold 29467404 
LLPS-Gaga-0000 P00698 LYZ ENSGALG00000009963.5 Gallus_gallus Droplet Scaffold 30114421 
LLPS-Gaga-0002 P01012 SERPINB14 ENSGALG00000012869.6 Gallus_gallus Droplet Scaffold 30114421 
LLPS-Sac-0013 P04050 RPO21 YDL140C Saccharomyces_cerevisiae Droplet,Stress-granule Scaffold 30127355 
LLPS-Sac-0015 P53297 PBP1 YGR178C Saccharomyces_cerevisiae Droplet,P-body,Stress-granule,Others Scaffold 30982603 
LLPS-Sac-0080 P40070 LSM4 YER112W Saccharomyces_cerevisiae Droplet,P-body Scaffold 26412307 
LLPS-Sac-0254 P04147 PAB1 YER165W Saccharomyces_cerevisiae Droplet,P-body,Stress-granule,Others Scaffold 2828305928283060 
LLPS-Sac-0267 P14907 NSP1 YJL041W Saccharomyces_cerevisiae Droplet,Nuclearporecomplex Scaffold 17082456 
LLPS-Sac-0330 P25644 PAT1 YCR077C Saccharomyces_cerevisiae Droplet,P-body Scaffold 30648970 
LLPS-Sac-0389 P00549 CDC19 YAL038W Saccharomyces_cerevisiae Droplet,Stress-granule,Others Scaffold 29963943 
LLPS-Sac-0410 P05453 SUP35 YDR172W Saccharomyces_cerevisiae Droplet,P-body,Stress-granule,Others Scaffold 29301985 
LLPS-Sac-0420 P39936 TIF4632 YGL049C Saccharomyces_cerevisiae Droplet,P-body,Stress-granule Scaffold 26412307 
LLPS-Sac-0503 P39517 DHH1 YDL160C Saccharomyces_cerevisiae Droplet,P-body,Stress-granule Scaffold 30216718 
LLPS-Sac-0524 P32588 PUB1 YNL016W Saccharomyces_cerevisiae Droplet,Stress-granule,Others Scaffold 29898402 
LLPS-Sac-0599 Q02629 NUP100 YKL068W Saccharomyces_cerevisiae Droplet,Nuclearporecomplex Scaffold 25562883 
LLPS-Sac-0617 Q02630 NUP116 YMR047C Saccharomyces_cerevisiae Droplet,Nuclearporecomplex Scaffold 25562883 
LLPS-Sac-0631 P34761 WHI3 YNL197C Saccharomyces_cerevisiae Droplet,Stress-granule Scaffold 25562883 
LLPS-Sac-1725 P38760 MIP6 YHR015W Saccharomyces_cerevisiae Others Scaffold 27320918 
LLPS-Scp-0003 Q9P805 dcp1 SPBC3B9.21 Schizosaccharomyces_pombe Droplet,P-body Scaffold 24862735 
LLPS-Scp-0071 O94752 edc3 SPBC18E5.11c Schizosaccharomyces_pombe Droplet,P-body Scaffold 24862735 
LLPS-Scp-0124 O13828 dcp2 SPAC19A8.12 Schizosaccharomyces_pombe Droplet,P-body Scaffold 24862735 
LLPS-Scp-0158 Q09737 SPAC13A11.06 SPAC13A11.06 Schizosaccharomyces_pombe Droplet,P-body Scaffold 24862735 
LLPS-Scp-0248 O74718 sup35 SPCC584.04 Schizosaccharomyces_pombe Droplet Scaffold 29301985 
LLPS-Scp-1664 O13892 SPAC20G4.08 SPAC20G4.08 Schizosaccharomyces_pombe Droplet Scaffold 24862735 
LLPS-Xet-3965 K9ZRR1 nup153 ENSXETG00000014197.3 Xenopus_tropicalis Droplet Scaffold 23202855 
LLPS-Xet-3964 J7I6Y1 nup98 ENSXETG00000004904.3 Xenopus_tropicalis Droplet Scaffold 23202855 
LLPS-Art-0450 Q8L3W1 VRN1 AT3G18990 Arabidopsis_thaliana Droplet,Nucleolus Scaffold 30762296 
LLPS-Art-2295 F4ID16 NUP98B AT1G59660 Arabidopsis_thaliana Droplet Scaffold 25562883 
LLPS-Art-0141 Q9SJF3 At1g08370 AT1G08370 Arabidopsis_thaliana P-body Regulator 2.68672162671335E+23 
LLPS-Art-0188 Q8VZG7 TSN1 AT5G07350 Arabidopsis_thaliana P-body,Stress-granule Regulator 2648421025205570 
LLPS-Art-0278 O23702 AN AT1G01510 Arabidopsis_thaliana Stress-granule Regulator 28659951 
LLPS-Art-0339 Q8L716 U2AF65B AT1G60900 Arabidopsis_thaliana Nuclear-speckle,Nucleolus Regulator 28760995 
LLPS-Art-0355 Q94KD0 TAF15B AT5G58470 Arabidopsis_thaliana P-body Regulator 26713351 
LLPS-Art-0381 O23676 MAGO AT1G02140 Arabidopsis_thaliana Nucleolus,P-body Regulator 2.9104584269803E+31 
LLPS-Art-0627 Q9LQI9 UBP1B AT1G17370 Arabidopsis_thaliana Nucleolus,Stress-granule Regulator 2.69803002697807E+23 
LLPS-Art-1053 P42730 CLPB1 AT1G74310 Arabidopsis_thaliana Stress-granule Regulator 28381501 
LLPS-Art-1123 Q9FXA2 PAB8 AT1G49760 Arabidopsis_thaliana P-body,Stress-granule Regulator 2649660719897600 
LLPS-Art-1147 F4K5J1 XI-K AT5G20490 Arabidopsis_thaliana P-body Regulator 24525673 
LLPS-Art-1420 Q9S709 U2AF35A AT1G27650 Arabidopsis_thaliana Nuclear-speckle,Nucleolus Regulator 28760995 
LLPS-Art-1516 F4I3B3 RBP47A AT1G49600 Arabidopsis_thaliana Nucleolus,Stress-granule Regulator 2698030025205570 
LLPS-Cae-0000 Q20228 rps-9 WBGene00004478 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0001 O62106 eif-6 WBGene00001234 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0002 Q93638 CELE_F30A10.9 WBGene00009266 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0003 P52814 rpl-39 WBGene00004453 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0004 P11141 hsp-6 WBGene00002010 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0005 P30625 kin-2 WBGene00002190 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0006 Q18967 eif-3.F WBGene00001229 Caenorhabditis_elegans P-body,Pgranule Regulator 2218009119805810 
LLPS-Cae-0007 P90783 pafo-1 WBGene00008338 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0008 Q21086 nst-1 WBGene00003821 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0009 Q18038 let-716 WBGene00002850 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0011 Q18968 scp-1 WBGene00004744 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0012 G5EDS8 exos-7 WBGene00009289 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0013 Q18921 snap-1 WBGene00017016 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0014 O44953 C34B2.10 WBGene00016395 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0015 O76577 rpn-11 WBGene00004467 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0017 Q9U302 pab-1 WBGene00003902 Caenorhabditis_elegans P-body,Stress-granule,Pgranule Regulator 2436769528076780 
LLPS-Cae-0018 Q1XFY9 rps-24 WBGene00004493 Caenorhabditis_elegans P-body,Pgranule Regulator 2218009119805810 
LLPS-Cae-0020 P49595 F42G9.1 WBGene00018362 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0021 G5EFH7 agef-1 WBGene00012386 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0022 P34514 apc-2 WBGene00000143 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0023 P34524 K12H4.3 WBGene00019678 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0025 O18178 pptr-1 WBGene00012348 Caenorhabditis_elegans Pgranule Regulator 25535836 
LLPS-Cae-0026 O17580 pro-2 WBGene00007413 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0027 Q9XVT0 rrbs-1 WBGene00007617 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0028 Q9XUV0 pbs-5 WBGene00003951 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0029 Q94392 nsf-1 WBGene00003818 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0030 Q9N306 CELE_Y61A9LA.10 WBGene00022021 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0031 O45946 rpl-18 WBGene00004430 Caenorhabditis_elegans P-body,Pgranule Regulator 2218009119805810 
LLPS-Cae-0033 Q22031 R74.7 WBGene00011281 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0034 P34647 mcm-6 WBGene00003158 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0035 Q09591 mix-1 WBGene00003367 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0036 O44552 cdc-25.1 WBGene00000386 Caenorhabditis_elegans P-body,Pgranule Regulator 2218009119805810 
LLPS-Cae-0037 Q17684 rpb-6 WBGene00007355 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0038 Q966M6 dbr-1 WBGene00000937 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0039 Q9U2Q9 gsk-3 WBGene00001746 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0040 O01513 C48B6.2 WBGene00016740 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0041 Q21338 spt-5 WBGene00005015 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0043 Q9N4F3 apb-1 WBGene00000160 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0044 Q20797 syx-5 WBGene00006373 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0045 P41988 cct-1 WBGene00000377 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0047 Q22099 kars-1 WBGene00002238 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0048 Q9U489 lin-41 WBGene00003026 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0049 O62102 pbs-2 WBGene00003948 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0050 Q23400 ZK1127.5 WBGene00022852 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0051 Q9GZH2 ruvb-2 WBGene00020687 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0052 P30628 unc-32 WBGene00006768 Caenorhabditis_elegans Pgranule Regulator 19805813 
LLPS-Cae-0053 Q19969 ima-3 WBGene00002074 Caenorhabditis_elegans P-body Regulator 22180091 
LLPS-Cae-0054 P34669 ZK686.3 WBGene00022793 Caenorhabditis_elegans P-body Regulator 22180091 
